ticker,drift,t,lower_bound_drift,upper_bound_drift,volatility
A,0.14746773403244492,1.96,0.14516140716311707,0.14977406090177278,0.23142552049750936
AAL,-0.14129386050077988,1.96,-0.14360018737010774,-0.13898753363145203,0.4549923801751747
AAP,-0.048102133866552856,1.96,-0.05040846073588071,-0.045795806997225,0.3425621662660561
AAPL,0.24270982336153857,1.96,0.2404034964922107,0.24501615023086643,0.23447402561098152
ABBV,0.11599966268021598,1.96,0.11369333581088813,0.11830598954954384,0.24293842879154118
ABT,0.1230828500165348,1.96,0.12077652314720694,0.12538917688586265,0.19972290276977336
ACN,0.1510124327241155,1.96,0.14870610585478763,0.15331875959344335,0.2143672865069754
ADBE,0.22440062711717915,1.96,0.2220943002478513,0.226706953986507,0.27627344856193997
ADI,0.14644879184490617,1.96,0.1441424649755783,0.14875511871423402,0.25932929353183976
ADM,0.056409297430788555,1.96,0.0541029705614607,0.05871562430011641,0.232950377873975
ADP,0.12922095695785601,1.96,0.12691463008852816,0.13152728382718387,0.20335738026223166
ADSK,0.17576056922429256,1.96,0.1734542423549647,0.17806689609362042,0.31255570589100545
AEE,0.08042987350929838,1.96,0.07812354663997052,0.08273620037862624,0.18596185390595224
AEP,0.0552291207474763,1.96,0.052922793878148446,0.05753544761680416,0.1836762498794759
AES,0.06419316319835583,1.96,0.06188683632902797,0.06649949006768369,0.2885939257889376
AFL,0.10309892833739985,1.96,0.100792601468072,0.10540525520672771,0.2170950117816721
AIG,0.0078062550555710415,1.96,0.0054999281862431835,0.0101125819248989,0.28559840266186376
AIZ,0.09796091060781796,1.96,0.0956545837384901,0.10026723747714582,0.22827791683232612
AJG,0.1907923395995763,1.96,0.18848601273024845,0.19309866646890417,0.18056493282090855
AKAM,0.06880443621518484,1.96,0.06649810934585698,0.0711107630845127,0.2754769571084754
ALB,0.1094761532815895,1.96,0.10716982641226164,0.11178248015091735,0.38686876094724537
ALGN,0.18908378497345937,1.96,0.18677745810413152,0.19139011184278723,0.4067285479447695
ALK,-0.061204329995433286,1.96,-0.06351065686476115,-0.05889800312610543,0.41617806618525105
ALL,0.09464044352601067,1.96,0.09233411665668281,0.09694677039533853,0.20994000365489962
ALLE,0.08861060657088225,1.96,0.0863042797015544,0.09091693344021011,0.23544080101219034
AMAT,0.2343965690338539,1.96,0.23209024216452603,0.23670289590318175,0.3336188865595661
AMD,0.43965769203026206,1.96,0.4373513651609342,0.4419640188995899,0.47419696459399574
AME,0.13525911296923968,1.96,0.13295278609991182,0.13756543983856753,0.21388390256068826
AMGN,0.07500894708799742,1.96,0.07270262021866956,0.07731527395732528,0.2176087294476649
AMP,0.13821102050057196,1.96,0.1359046936312441,0.14051734736989982,0.28277232623714527
AMT,0.10226880440955159,1.96,0.09996247754022373,0.10457513127887945,0.21335319646810375
AMZN,0.2312489595120589,1.96,0.22894263264273104,0.23355528638138676,0.2792911695960346
ANSS,0.16428902272548315,1.96,0.1619826958561553,0.166595349594811,0.24663608363381306
AON,0.1464987944221363,1.96,0.14419246755280846,0.14880512129146417,0.1928823690901166
AOS,0.09250791914366378,1.96,0.09020159227433593,0.09481424601299164,0.23532193383283942
APA,-0.09609462334736789,1.96,-0.09840095021669575,-0.09378829647804003,0.5232112908040197
APD,0.09292734868220215,1.96,0.09062102181287429,0.09523367555153,0.2162405850015961
APH,0.1525321954459005,1.96,0.15022586857657264,0.15483852231522835,0.207835495069639
ARE,0.05406492792382312,1.96,0.051758601054495264,0.05637125479315098,0.21772539102200703
ATO,0.08350000713749295,1.96,0.08119368026816509,0.0858063340068208,0.17862006759454707
AVB,0.023741608237705318,1.96,0.02143528136837746,0.026047935107033175,0.20531782066428333
AVGO,0.2543267517435079,1.96,0.25202042487418,0.25663307861283574,0.31816688639302665
AVY,0.14848344460054025,1.96,0.1461771177312124,0.1507897714698681,0.2273049606967934
AWK,0.11812895571655607,1.96,0.11582262884722822,0.12043528258588393,0.1921209780823494
AXP,0.1086590493688607,1.96,0.10635272249953284,0.11096537623818856,0.2663160903975089
AZO,0.17325568661480775,1.96,0.1709493597454799,0.1755620134841356,0.21751190875058024
BA,0.02967479138274464,1.96,0.027368464513416783,0.0319811182520725,0.3506148409157363
BAC,0.09307620823376395,1.96,0.09076988136443609,0.0953825351030918,0.268652819593496
BAX,-0.02002613415656962,1.96,-0.022332461025897477,-0.017719807287241762,0.28066216607933364
BBY,0.11464615999845792,1.96,0.11233983312913007,0.11695248686778578,0.34760709760876307
BDX,0.06804935751160562,1.96,0.06574303064227777,0.07035568438093348,0.1859995906957483
BEN,-0.07807356603966646,1.96,-0.08037989290899432,-0.0757672391703386,0.2844527819795733
BF.B,-0.037913306081493375,1.96,-0.04021963295082123,-0.03560697921216552,0.30487211426111965
